name,slug,value_kWh,date_of_information,ranking,region
China,china,"5,883,000,000,000",2016,1,East Asia/Southeast Asia
United-States,united-states,"4,095,000,000,000",2016,2,North America
India,india,"1,386,000,000,000",2016,3,South Asia
Russia,russia,"1,031,000,000,000",2016,4,Central Asia
Japan,japan,"989,300,000,000",2016,5,East Asia/Southeast Asia
Canada,canada,"649,600,000,000",2016,6,North America
Germany,germany,"612,800,000,000",2016,7,Europe
Brazil,brazil,"567,900,000,000",2016,8,South America
France,france,"529,100,000,000",2016,9,Europe
Korea-South,korea-south,"526,000,000,000",2016,10,East Asia/Southeast Asia
Saudi-Arabia,saudi-arabia,"324,100,000,000",2016,11,Middle East
United-Kingdom,united-kingdom,"318,200,000,000",2016,12,Europe
Mexico,mexico,"302,700,000,000",2016,13,North America
Italy,italy,"275,300,000,000",2016,14,Europe
Iran,iran,"272,300,000,000",2016,15,Middle East
Turkey,turkey,"261,900,000,000",2016,16,Middle East
Spain,spain,"258,600,000,000",2016,17,Europe
Taiwan,taiwan,"246,100,000,000",2016,18,East Asia/Southeast Asia
Australia,australia,"243,000,000,000",2016,19,Australia - Oceania
Indonesia,indonesia,"235,400,000,000",2016,20,East Asia/Southeast Asia
South-Africa,south-africa,"234,500,000,000",2016,21,Africa
Egypt,egypt,"183,500,000,000",2016,22,Africa
Thailand,thailand,"181,500,000,000",2016,23,East Asia/Southeast Asia
Vietnam,vietnam,"158,200,000,000",2016,24,East Asia/Southeast Asia
Poland,poland,"156,900,000,000",2016,25,Europe
Ukraine,ukraine,"153,600,000,000",2016,26,Europe
Sweden,sweden,"152,900,000,000",2016,27,Europe
Malaysia,malaysia,"148,300,000,000",2016,28,East Asia/Southeast Asia
Norway,norway,"147,700,000,000",2016,29,Europe
Argentina,argentina,"131,900,000,000",2016,30,South America
United-Arab-Emirates,united-arab-emirates,"121,800,000,000",2016,31,Middle East
Pakistan,pakistan,"109,700,000,000",2016,32,South Asia
Netherlands,netherlands,"109,300,000,000",2016,33,Europe
Venezuela,venezuela,"109,300,000,000",2016,34,South America
Kazakhstan,kazakhstan,"100,800,000,000",2016,35,Central Asia
Philippines,philippines,"86,590,000,000",2016,36,East Asia/Southeast Asia
Belgium,belgium,"79,830,000,000",2016,37,Europe
Czechia,czechia,"77,390,000,000",2016,38,Europe
