name,slug,percent_of_gdp,date_of_information,ranking,region
Saint-Lucia,saint-lucia,0.01,2018,156,Central America
Switzerland,switzerland,0.01,2018,157,Europe
United-Kingdom,united-kingdom,0.01,2018,158,Europe
American-Samoa,american-samoa,0,2018,159,Australia - Oceania
Andorra,andorra,0,2018,160,Europe
Antigua-and-Barbuda,antigua-and-barbuda,0,2018,161,Central America
Aruba,aruba,0,2017,162,Central America
Bahrain,bahrain,0,2018,163,Middle East
Cayman-Islands,cayman-islands,0,2018,164,Central America
Curacao,curacao,0,2018,165,Central America
Cyprus,cyprus,0,2018,166,Europe
Faroe-Islands,faroe-islands,0,2017,167,Europe
Gaza-Strip,gaza-strip,0,2018,168,Middle East
Greenland,greenland,0,2018,169,North America
Grenada,grenada,0,2018,170,Central America
Guam,guam,0,2018,171,Australia - Oceania
Hong-Kong,hong-kong,0,2018,172,East Asia/Southeast Asia
Iceland,iceland,0,2018,173,Europe
Iraq,iraq,0,2018,174,Middle East
Isle-of-Man,isle-of-man,0,2017,175,Europe
Israel,israel,0,2018,176,Middle East
Kazakhstan,kazakhstan,0,2018,177,Central Asia
Kosovo,kosovo,0,2018,178,Europe
Kuwait,kuwait,0,2018,179,Middle East
Lebanon,lebanon,0,2018,180,Middle East
Liechtenstein,liechtenstein,0,2017,181,Europe
Macau,macau,0,2018,182,East Asia/Southeast Asia
Maldives,maldives,0,2018,183,South Asia
Malta,malta,0,2018,184,Europe
Marshall-Islands,marshall-islands,0,2018,185,Australia - Oceania
Mauritius,mauritius,0,2018,186,Africa
Monaco,monaco,0,2018,187,Europe
Nauru,nauru,0,2018,188,Australia - Oceania
Northern-Mariana-Islands,northern-mariana-islands,0,2018,189,Australia - Oceania
Oman,oman,0,2018,190,Middle East
Palau,palau,0,2018,191,Australia - Oceania
Puerto-Rico,puerto-rico,0,2018,192,Central America
Qatar,qatar,0,2018,193,Middle East
Saint-Kitts-and-Nevis,saint-kitts-and-nevis,0,2018,194,Central America
San-Marino,san-marino,0,2018,195,Europe
Saudi-Arabia,saudi-arabia,0,2018,196,Middle East
Singapore,singapore,0,2018,197,East Asia/Southeast Asia
Turkmenistan,turkmenistan,0,2018,198,Central Asia
Turks-and-Caicos-Islands,turks-and-caicos-islands,0,2018,199,Central America
Tuvalu,tuvalu,0,2018,200,Australia - Oceania
United-Arab-Emirates,united-arab-emirates,0,2018,201,Middle East
Uzbekistan,uzbekistan,0,2018,202,Central Asia
Virgin-Islands,virgin-islands,0,2017,203,Central America
West-Bank,west-bank,0,2018,204,Middle East
