name,slug,percent_of_gdp,date_of_information,ranking,region
Nepal,nepal,0,2018,142,South Asia
Netherlands,netherlands,0,2018,143,Europe
Nicaragua,nicaragua,0,2018,144,Central America
Nigeria,nigeria,0,2018,145,Africa
North-Macedonia,north-macedonia,0,2018,146,Europe
Norway,norway,0,2018,147,Europe
Oman,oman,0,2018,148,Middle East
Panama,panama,0,2018,149,Central America
Papua-New-Guinea,papua-new-guinea,0,2018,150,East Asia/Southeast Asia
Paraguay,paraguay,0,2018,151,South America
Peru,peru,0,2018,152,South America
Portugal,portugal,0,2018,153,Europe
Puerto-Rico,puerto-rico,0,2018,154,Central America
Qatar,qatar,0,2018,155,Middle East
Rwanda,rwanda,0,2018,156,Africa
Saint-Kitts-and-Nevis,saint-kitts-and-nevis,0,2018,157,Central America
Saint-Lucia,saint-lucia,0,2018,158,Central America
Saint-Vincent-and-the-Grenadines,saint-vincent-and-the-grenadines,0,2018,159,Central America
Samoa,samoa,0,2018,160,Australia - Oceania
Sao-Tome-and-Principe,sao-tome-and-principe,0,2018,161,Africa
Saudi-Arabia,saudi-arabia,0,2018,162,Middle East
Senegal,senegal,0,2018,163,Africa
Seychelles,seychelles,0,2018,164,Africa
Sierra-Leone,sierra-leone,0,2018,165,Africa
Singapore,singapore,0,2018,166,East Asia/Southeast Asia
Solomon-Islands,solomon-islands,0,2018,167,Australia - Oceania
Spain,spain,0,2018,168,Europe
Sri-Lanka,sri-lanka,0,2018,169,South Asia
Sudan,sudan,0,2018,170,Africa
Suriname,suriname,0,2018,171,South America
Sweden,sweden,0,2018,172,Europe
Switzerland,switzerland,0,2018,173,Europe
Timor-Leste,timor-leste,0,2018,174,East Asia/Southeast Asia
Togo,togo,0,2018,175,Africa
Tonga,tonga,0,2018,176,Australia - Oceania
Trinidad-and-Tobago,trinidad-and-tobago,0,2018,177,Central America
Tunisia,tunisia,0,2018,178,Africa
Turkmenistan,turkmenistan,0,2018,179,Central Asia
Turks-and-Caicos-Islands,turks-and-caicos-islands,0,2018,180,Central America
Uganda,uganda,0,2018,181,Africa
United-Arab-Emirates,united-arab-emirates,0,2018,182,Middle East
United-Kingdom,united-kingdom,0,2018,183,Europe
Uruguay,uruguay,0,2018,184,South America
Vanuatu,vanuatu,0,2018,185,Australia - Oceania
Yemen,yemen,0,2018,186,Middle East
